"PEP"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"	"C1"	"C2"	"C3"	"D1"	"D2"	"D3"
"HPRR233074"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2360054"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2390048"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2390049"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2390052"	1	1	1	1	1	1	1	1	0.9979	0	0	0
"HPRR2390053"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2390055"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2390061"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2440154"	1	1	1	1	1	0	1	1	1	0	0	0
"HPRR2440405"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2440464"	1	1	0.9958	0	1	0	1	1	1	0	0	0
"HPRR2440465"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR2440760"	1	0.9986	0.9959	1	1	1	1	1	1	0	0	0
"HPRR2441086"	0.9728	0.611	0.9202	1	1	1	0	0	1	0	0	0
"HPRR2470377"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2490019"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR2500088"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2500196"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2500368"	1	1	1	0	0	1	1	1	1	0	0	0
"HPRR2500716"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2501480"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2510213"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2510306"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2540222"	0.9999	0.9979	0	1	1	1	1	1	1	0	0	0
"HPRR2540402"	0.9975	0.9996	0.9958	0	1	0.9999	1	0.9999	1	0	0	0
"HPRR2540430"	1	1	1	1	1	1	0	0	0.3203	0	0	0
"HPRR2540435"	0.2416	1	0.842	0.9999	1	1	0.9998	0.6253	0.9997	0	0	0
"HPRR2540567"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2540609"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2550362"	0.9991	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR2550550"	0.9991	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR2550573"	0.995	0.6526	0.9987	1	1	1	1	1	1	0	0	0
"HPRR2550633"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2551184"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2551185"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2551249"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2551324"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2551632"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551682"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2551790"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2552126"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2580010"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR260088"	0.9995	0.9997	1	1	1	1	1	1	1	0	0	0
"HPRR2620002"	1	1	1	1	1	1	0	1	1	0	0	0
"HPRR2620016"	1	1	1	1	1	0	1	1	1	0	0	0
"HPRR2620054"	1	1	1	1	0	0	1	1	1	0	0	0
"HPRR2640051"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2640146"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2650003"	1	1	1	1	1	1	1	1	1	0	0	0.9963
"HPRR2700128"	1	1	1	1	1	1	1	1	1	0	0	0.9967
"HPRR2700178"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2700179"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2750112"	0.9991	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR2760146"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2760180"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2760182"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2760304"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR280003"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR280079"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR280081"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR280111"	1	1	1	1	1	1	1	1	1	0	0	0.9963
"HPRR2810004"	1	1	1	1	0	1	1	1	1	0	0	0
"HPRR2810254"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2880070"	0.9985	0.9986	0.9987	1	1	1	1	1	1	0	0	0
"HPRR2890041"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR290033"	0.8102	1	0.9212	1	1	1	1	1	1	0	0	0
"HPRR2930357"	0.9991	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR2970116"	1	1	1	1	1	1	1	1	1	0.9966	1	1
"HPRR2990028"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2990033"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3000481"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR300183"	1	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR3020476"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3071109"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3090113"	1	1	1	1	1	1	1	1	1	0	0	1
"HPRR3140345"	1	1	1	1	1	1	1	1	1	0	0	1
"HPRR330224"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR330275"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3330016"	0.9999	0.7944	0	1	1	1	1	1	1	0	0	0
"HPRR340034"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR340039"	0.9985	0.9999	1	1	1	1	1	1	1	0	0	0
"HPRR340181"	1	0.9996	1	1	1	1	1	1	1	0	0	0
"HPRR3420055"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3450022"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3450023"	0	0.9311	0	0.9947	0.5038	0.9981	0	0	0	0	0	0
"HPRR360208"	1	1	1	1	0.9989	1	1	1	1	0	0	0
"HPRR3640011"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3670067"	0.9991	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR3690184"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3700338"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR370244"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3720023"	1	1	1	1	0	1	1	1	1	0	0	0
"HPRR3720166"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3720232"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3720352"	1	1	1	1	1	1	1	1	1	0	0.9976	0
"HPRR3720402"	0.9994	1	1	1	1	1	1	1	1	0	0	0
"HPRR3720421"	0.9999	0.9981	0.9967	1	1	1	1	1	1	0	0	0
"HPRR3720532"	1	1	1	1	1	1	0	1	1	0	0	0
"HPRR3720606"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3720617"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3720679"	1	1	1	1	1	1	1	1	1	0	1	0
"HPRR3730022"	1	1	1	1	1	1	1	1	1	0	0.9976	0
"HPRR3730024"	0.9993	0.999	0.9993	1	1	1	1	1	1	0	0	0
"HPRR3730146"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730168"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3730192"	0.9951	0.9958	0.996	1	1	1	1	1	1	0	0	0
"HPRR3730250"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3730276"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730312"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3730314"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3730410"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730415"	1	1	1	1	1	1	0	1	1	0	0	0
"HPRR3730429"	0.9974	0.7346	1	1	1	0.8455	1	1	1	0	0	0
"HPRR3730444"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730445"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3730453"	1	1	1	0.9947	0.9943	1	0	1	0	0	1	0.9904
"HPRR3730589"	0.9958	0.9986	0.9986	1	1	1	1	1	1	0	0	0
"HPRR3760008"	1	1	1	1	1	1	1	0.9998	0.9997	0	0	0
"HPRR3760142"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760365"	1	1	1	1	1	1	1	1	1	0	0.2929	0
"HPRR3760407"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760434"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760436"	0.9985	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760446"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760498"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760527"	0.91	0.9986	0.8822	1	1	1	1	1	1	0	0	0.9967
"HPRR3760567"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760696"	0.9669	1	0.996	1	0.9942	1	1	1	1	0	0	0
"HPRR3760711"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3760765"	0.9997	1	0.9992	1	1	1	1	1	1	0	0	0
"HPRR3760825"	0	0	0	1	1	0	0	0	0	0	0	0
"HPRR3760883"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3761047"	0.9982	0.9985	0.9928	1	1	1	1	1	1	0	0	0
"HPRR3761106"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3761107"	1	1	1	1	1	1	1	1	1	0	0.9976	0
"HPRR3761220"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3770029"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3770042"	1	1	0.999	1	1	1	1	1	1	0	0	0
"HPRR3770043"	1	1	1	1	1	1	1	1	1	0	0.9976	0
"HPRR3780010"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3780084"	1	1	1	1	1	1	1	1	1	0	0.9973	0
"HPRR3780090"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3780091"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3780093"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3790306"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3790336"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3790495"	0.9985	0.9998	0.9987	1	1	1	1	1	1	0	0	0
"HPRR3790667"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3790889"	1	1	1	1	1	1	0	0	1	0	0	0
"HPRR3830169"	1	1	1	1	1	1	0.9936	0.9406	0	0	0.9976	0
"HPRR3830190"	1	1	1	1	1	1	1	1	1	0	1	0
"HPRR3830237"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3830287"	0.9991	0.9994	0.9992	1	1	1	1	1	1	0	0	0
"HPRR3870078"	0.9985	0.9986	0.9987	1	1	1	1	1	1	0	0	0
"HPRR3870348"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3880146"	1	1	1	1	1	0	1	1	1	0	0	0
"HPRR3880239"	1	1	0.9987	1	1	1	1	1	1	0	0	0
"HPRR3890095"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3890141"	0.9985	1	1	0	0	0	1	1	1	0	0.3589	0
"HPRR3890559"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3890570"	0.9484	1	1	0	0	1	1	1	1	0	0.3977	0
"HPRR3890842"	0	0.999	0.3192	0.9985	1	1	0	0	0	0	0	0
"HPRR3890843"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR390019"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3910060"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3920052"	0.9993	1	0.9995	1	1	1	1	0	1	0	0	0
"HPRR3920089"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3940080"	0.9971	0.9942	0.9929	1	1	1	1	1	1	0	0	0
"HPRR3950020"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3950025"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3950052"	0.9975	0.9996	0.996	0.9948	1	0.9999	1	0.9999	1	0	0	0
"HPRR3950112"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3950217"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR3970041"	0.9992	0.9992	0.9992	1	1	1	1	1	1	0	1	0
"HPRR3970058"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4000109"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4000204"	0.9985	0.9958	0.996	1	1	1	1	1	1	0	0	0
"HPRR4000237"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4000324"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030012"	0.9985	0.9986	0.9987	1	1	1	1	1	1	0	0	0
"HPRR4030022"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030046"	1	1	1	1	0	0	1	1	1	0	0	0
"HPRR4030092"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030132"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030177"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030233"	1	1	1	0.9999	0	1	1	1	1	0	0.9976	0.9967
"HPRR4030303"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030335"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030352"	0.9991	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030419"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030441"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030471"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4030528"	1	1	1	1	1	1	1	0.9997	0	0	0	0
"HPRR4040007"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4040265"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4040278"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4040559"	1	1	1	1	1	1	0	0	0	0	0.9976	0
"HPRR4050190"	0.9951	0.9958	1	1	1	1	1	1	1	0	0	0
"HPRR4050261"	1	1	1	1	1	1	1	1	1	0	0.9967	0
"HPRR4050491"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4050552"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR4050590"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4060128"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4060158"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4060165"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4080136"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4110123"	1	1	0.996	1	1	1	0	1	1	0	0	0
"HPRR4110155"	1	1	1	1	1	1	0	0	0	0	0.9973	0
"HPRR4110213"	0.9999	0.9998	1	1	1	1	1	1	1	0	0	0
"HPRR4110252"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4110358"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4110422"	0.9951	0.9958	0.996	1	1	1	1	1	1	0	0	0
"HPRR4120086"	0.2416	1	0.842	0.9999	1	1	0.9998	0	0.9997	0	0	0
"HPRR4120251"	1	1	1	1	1	1	1	1	1	0	0.9973	0
"HPRR4160302"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4160392"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160447"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4160484"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160492"	1	1	1	1	1	1	0.6947	1	1	0	1	0.9967
"HPRR4160683"	1	1	0.9979	1	1	1	1	1	1	0	0	0
"HPRR4160788"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4180065"	1	0.9958	1	1	1	1	0	0	0	0	0	0
"HPRR4180150"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4190087"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4190113"	0.9991	1	1	1	1	1	1	1	1	0	0	0
"HPRR4190190"	0.9991	0.9991	0.999	1	1	1	1	1	1	0	0	0
"HPRR4190307"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4190550"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4190863"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4200118"	0	0	0	0	0	0	1	1	0	0	0	0
"HPRR4220263"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4220485"	0	0	0	1	0	0	1	1	0	0	0	0
"HPRR4240053"	0.9991	0.9992	0.999	1	1	1	1	1	1	0	0	0
"HPRR4280057"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4280132"	0.9985	0.9986	0.9987	1	1	1	1	1	1	0	0	0
"HPRR4280170"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4290148"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4290343"	0.9725	0.9963	0.9935	1	1	1	1	1	1	0	0	0
"HPRR4290963"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290976"	1	1	0.9987	1	1	1	1	1	1	0	0	1
"HPRR4290983"	0	0	0	0	0.9594	0	0	0	0	0	0	0
"HPRR4310028"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4310047"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4310055"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4310062"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR4310063"	1	1	1	1	1	1	1	1	1	0	1	0
"HPRR4320029"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320032"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320036"	0.2369	0.2395	0	0	0	0	0	0	0	0	0	0
"HPRR4320043"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320047"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320051"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320123"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4320129"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320238"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320282"	0.9949	0	0.9958	0.9948	0.9943	0	0	0	0	0	0	0
"HPRR4320296"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320317"	0	0.9919	0.9926	0.99	0.9888	0.9941	0	0	0	0	0	0
"HPRR4320323"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320379"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320381"	1	1	1	1	1	1	0.5558	0	0	0	0	0
"HPRR4320390"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR4320391"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320393"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320411"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320417"	1	1	1	1	1	1	0	1	1	0	0.9976	0
"HPRR4320428"	0.9951	0.9958	0.9958	0.9948	0.9943	0.9948	0	0	0	0	0	0
"HPRR4320437"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320444"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320450"	0	0	0	0	0	0.8631	0	0	0	0	0	0
"HPRR4320456"	0	0	0	0.9948	0.9115	0.9463	0	0	0	0	0	0
"HPRR4320468"	0.9308	0.3983	0.3098	0.9293	0.9528	0	0	0	0	0	0	0
"HPRR4320489"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR4320491"	0.9949	0	0	0.9947	0.9941	0.9948	0	0	0	0	0	0
"HPRR4320525"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320562"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320595"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR4320611"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320615"	0.9985	0.9986	0.9987	1	0.9942	0.995	1	1	1	0	0	0
"HPRR4320660"	0.6617	0	0.8013	0	0.2348	0	0	0	0	0	0	0
"HPRR4320671"	0	0	0	0.9948	0.9943	0	0	0	0	0	0	0
"HPRR4320696"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4340015"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4340029"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4340072"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4340092"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4340107"	1	1	0.9997	1	1	1	1	0	1	0	0	0
"HPRR4350010"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4350017"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4350028"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR4350071"	1	1	1	1	1	1	0	1	1	0	0	0
