"PEP"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"	"C1"	"C2"	"C3"	"D1"	"D2"	"D3"
"HPRR280111"	1	1	1	0	0	0	1	1	1	0	0	0.5227
"HPRR2810004"	1	1	1	0	1	0	1	1	1	0	0	0
"HPRR2810254"	1	1	1	0	0	0	0.9999	1	0.9999	0	0	0
"HPRR2880070"	0.9989	0.9989	0.9989	0	0	0	1	1	1	0	0	0
"HPRR2890041"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR290033"	0.9962	0.9225	0.9888	0.9309	0	0	1	1	1	0	0	0.9819
"HPRR2930357"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2970116"	0	0.9999	1	1	1	1	0	0	0	0.9821	1	0
"HPRR2990028"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR2990033"	0.9971	1	1	1	1	1	0	0	0	0	0	0
"HPRR3000481"	0.9999	0.9997	1	0	0	0	1	1	1	0	0	0
"HPRR300183"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3020476"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3071109"	0	0	0	0	0.9962	0.9963	0	0	0	0	0	0
"HPRR3090113"	1	1	1	0	0	0	1	1	1	0	0	1
"HPRR3120119"	0	1	0.9952	0.25	0	0	0	0	0	0	0	0
"HPRR3140345"	0.9999	0.9999	0.9999	0	0	0	1	1	1	0	0	1
"HPRR330224"	1	1	1	0.9749	0	0	1	1	1	0.9428	0	0
"HPRR330275"	0.9975	0.9991	1	0	0	0	1	1	1	0	0.9932	0
"HPRR3330016"	0.9997	0.974	1	1	1	1	0	0	0	0	0	0
"HPRR340034"	1	1	1	0	0	0	1	1	1	0	0.995	0
"HPRR340039"	0	0.9682	1	0	0	0	1	1	1	0	0	0
"HPRR340181"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3420055"	1	1	1	0	0	0.9608	1	1	1	0	0	0
"HPRR3450022"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3450023"	0	0	0	0	0.3704	0.9966	0	0	0	0	0	0
"HPRR360208"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3640011"	0	0	0.9145	1	1	1	0	0	0	0	0	0
"HPRR3670067"	0.9992	0.9993	0.9939	1	1	1	0	0	0	0	0	0
"HPRR3690184"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3700338"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR370244"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3720023"	0	0	0	1	0	1	0	0	0	0	0	0
"HPRR3720166"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3720232"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3720352"	1	1	1	1	1	1	0	0	0	0	0.995	0
"HPRR3720402"	0	0	0	1	1	1	0	0	0	0	0	0
"HPRR3720421"	0.9473	0.9514	0.9647	1	0.9996	1	0	0	0	0	0	0
"HPRR3720532"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3720606"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3720617"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3720679"	1	1	1	1	1	1	0	0	0	0	1	0
"HPRR3730022"	1	1	1	1	1	1	0	0	0	0	0.9955	0
"HPRR3730024"	0.9955	1	0.9969	1	1	1	0	0	0	0	0	0
"HPRR3730146"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730168"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730192"	1	1	0.9973	1	1	1	0	0	0	0	0	0
"HPRR3730250"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730276"	1	1	1	1	1	1	0.6443	0	0	0	0	0
"HPRR3730312"	1	0.9988	0.997	1	1	1	0	0	0	0	0	0
"HPRR3730314"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730410"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730415"	1	0	1	1	1	1	1	1	1	0	0	0
"HPRR3730429"	0.9642	0	0	1	1	0	0.6019	0.8104	0	0	0	0
"HPRR3730444"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730445"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3730453"	0.9969	0.9989	0.9987	0.9994	0.9887	1	0	0	0	0	0.9999	0.8544
"HPRR3730589"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760008"	1	1	1	1	1	1	0.62	0	0	0	0	0
"HPRR3760142"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760365"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760407"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760434"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760436"	0	0.995	0	1	1	1	0	0	0	0	0	0
"HPRR3760446"	0	0	1	1	1	1	0	0	0	0	0	0
"HPRR3760498"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760527"	0	0.9962	0	0	0	1	0	0	0	0	0	0
"HPRR3760567"	0	0	0	1	1	1	0	0	0	0	0	0
"HPRR3760696"	0	0	0.9973	0	0.9968	1	0	0	0	0	0	0
"HPRR3760711"	0.6374	1	0.9974	1	1	1	0	0	0	0	0.9036	0
"HPRR3760765"	1	0.9995	0.9793	1	1	1	0	0	0	0	0	0
"HPRR3760825"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3760883"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3761047"	0.9979	0.9989	0.9976	1	1	1	0	0	0	0	0	0
"HPRR3761106"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3761107"	1	1	1	1	1	1	0	1	1	0	0	0
"HPRR3761220"	1	0.9997	0.9949	1	1	1	0	0	0	0	0	0
"HPRR3770029"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3770042"	1	1	0.9994	1	1	1	0	0	0	0	0	0
"HPRR3770043"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3780010"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3780084"	1	1	1	1	1	1	0	0	0	0	0.9955	0
"HPRR3780090"	0	0	0	1	1	1	0.9207	0	0	0	0	0
"HPRR3780093"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3790306"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3790336"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3790495"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3790667"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3790889"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3830169"	1	1	1	1	1	1	0	0	0	0	0.9955	0
"HPRR3830190"	1	1	1	1	1	1	0	0	0	0	1	0
"HPRR3830237"	1	1	1	1	1	0.9978	0	0	0	0	0	0
"HPRR3830287"	0.9988	0.9999	1	1	1	1	0	0	0	0	0	0
"HPRR3870078"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3870348"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3880146"	0	0	0	1	1	1	0	0	0	0	0	0
"HPRR3880239"	1	1	0.9978	1	1	1	0	0	0	0	0	0
"HPRR3890095"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3890141"	0.9971	0	0	0	0	0	0	0	0	0	0.8212	0
"HPRR3890559"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3890570"	0	0	0	0	0	1	0	0	0	0	0	0
"HPRR3890842"	0	0	0.996	0.9979	1	1	0	0	0	0	0	0
"HPRR3890843"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR390019"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3910060"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR3920052"	0.9995	1	0.9995	1	1	0.9996	0	0	0	0	0	0
"HPRR3920089"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3940080"	0.9979	0.9981	0.9988	1	1	1	0	0	0	0	0	0
"HPRR3950020"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3950025"	0	0	0	1	1	1	0	0	0	0	0	0
"HPRR3950052"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3950112"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR3950217"	1	1	1	1	1	1	0.9986	0	0	0	0	0
"HPRR3970041"	0.9955	1	0.9757	1	1	1	0	0	0	0	0	0
"HPRR3970058"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4000109"	1	0.9807	1	1	1	1	0.5688	0	0	0	0	0
"HPRR4000204"	1	1	0	1	1	1	0	0	0	0	0	0
"HPRR4000237"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4000324"	1	0.9989	1	1	1	1	0	0	0	0	0	0
"HPRR4030012"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030022"	1	1	0.9973	1	1	1	0	0	0	0	0	0
"HPRR4030046"	1	1	1	0.8301	0	0	1	1	1	0	0	0
"HPRR4030092"	1	0.9982	1	1	1	1	0	0	0	0	0	0
"HPRR4030132"	1	1	0.9985	1	1	1	0	0	0	0	0	0
"HPRR4030177"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030233"	0	0	0	0	0	0	0	0	0	0	0.9955	0.9953
"HPRR4030303"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030335"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030352"	1	0.9992	1	1	1	1	0	0	0	0	0	0
"HPRR4030419"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030441"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030471"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4030528"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4040007"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4040265"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4040278"	0.9994	1	0.9701	1	1	1	0	0	0	0	0	0
"HPRR4040559"	1	1	1	1	1	1	0	0	0	0	1	0
"HPRR4050190"	0.9968	0	1	1	1	1	0	0	0	0	0	0
"HPRR4050261"	1	1	1	1	1	1	0	0	0	0	0.9888	0
"HPRR4050491"	0.9997	0.9997	0.998	1	1	1	0	0	0	0	0	0
"HPRR4050590"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4060128"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4060158"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4060165"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4080136"	1	0.9999	1	0.9995	0	0	0	0	0	0	0	0
"HPRR4110123"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4110155"	1	1	1	1	1	1	0	0	0	0	0.9946	0
"HPRR4110213"	1	0	0.9989	1	1	1	0	0	0	0	0	0
"HPRR4110252"	1	1	1	1	1	1	0	0.9962	0	0	0	0
"HPRR4110358"	0	1	1	1	1	1	0	0	0	0	0	0
"HPRR4110422"	0.9989	0.9971	0.9973	1	1	1	0	0	0	0	0	0
"HPRR4120086"	0.3829	0.9985	0	0	0	0	0	0	0	0	0	0
"HPRR4120251"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160302"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160392"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160447"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160484"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4160492"	1	1	1	1	1	1	0	0.9962	0	0	1	0.9957
"HPRR4160683"	1	1	1	1	1	1	0	0	0	0	0.9919	0
"HPRR4160788"	1	0.8002	0.9982	1	1	1	0	0	0	0	0	0
"HPRR4180065"	1	0	1	1	1	1	0	0	0	0	0	0.6033
"HPRR4180150"	1	1	1	1	1	1	0.4268	0.5352	0.2292	0	0	0
"HPRR4190087"	1	1	1	1	1	1	0	0.8367	0	0	0	0
"HPRR4190113"	0.9991	1	1	1	1	1	0	0	0	0	0	0
"HPRR4190190"	1	0.9987	1	1	1	1	0	0	0	0	0	0
"HPRR4190307"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4190550"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4190863"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4220263"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4220485"	0	0	0	1	0	0	0	0	0	0	0	0
"HPRR4240053"	0.9989	0.9997	0	1	1	1	0	0	0	0	0	0
"HPRR4280057"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4280132"	0.9979	0.9969	0.9972	1	1	1	0	0	0	0	0	0
"HPRR4280170"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4290148"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR4290343"	0.9999	0.9969	0.9896	1	1	1	0	0	0	0	0	0
"HPRR4290874"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290879"	0	0.9784	0	0.5501	0	0	0	0	0	0	0	0
"HPRR4290882"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290886"	0	0	0.2133	0	0	0	0	0	0	0	0	0
"HPRR4290891"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290892"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290895"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290900"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290911"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290913"	0	0	0	0.297	0	0	0	0	0	0	0	0
"HPRR4290915"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290926"	0	0.3158	0	0	0	0	0	0	0	0	0	0
"HPRR4290932"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290933"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290939"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290942"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290943"	0.2775	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290950"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290959"	0.263	0	0.2898	0	0.6098	0	0.8085	0	0.5689	0	0	0
"HPRR4290960"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290963"	0	0	0	0	0.7531	0	0	0	0	0	0	0
"HPRR4290966"	0	0.787	0	0	0.9952	0	0	0	0	0	0	0
"HPRR4290970"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290976"	1	0.9767	0.9999	1	1	1	0	0	0	0	0	0
"HPRR4290978"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290979"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290983"	0	0	0	0.3674	0	0.9769	0	0	0	0	0	0
"HPRR4290985"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290986"	0	0	0	0	0	0.3083	0	0	0	0	0	0
"HPRR4290987"	0	0	0	0	0.9968	0	0	0	0	0	0	0
"HPRR4290989"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291000"	0.8824	0.5598	0	0	0	0.8899	0	0.947	0.9843	0	0	0
"HPRR4291007"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291022"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291027"	0	0	0	0	0	0	0.6799	0	0	0	0	0
"HPRR4291035"	0	0	0	0	0	0.9455	0	0.793	0	0	0	0
"HPRR4291036"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291040"	0.8536	0.9723	0	0	0.3841	0	0	0	0	0	0	0
"HPRR4291041"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291045"	0.536	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291049"	0	0	0	0.9708	0	0	0	0	0	0	0	0
"HPRR4291051"	0	0	0	0	0	0	0.6347	0	0	0	0	0
"HPRR4291053"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4291056"	0	0	0	0.8389	0	0	0	0	0	0	0	0
"HPRR4291057"	0	0	0	0	0.2981	0	0	0	0	0	0	0
"HPRR4291060"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4310001"	0	0	0	0.6213	0	0	0	0	0	0	0	0
"HPRR4310002"	0	0	0	0	0	0	0.6148	0	0	0	0	0
"HPRR4310005"	0	0	0	0	0	0	0	0	0	0	0	0
